Transcription,Readability,Fluency,Clarity,Depth of Knowledge,Engagement,Speech Pace,Emotional Tone,Vocabulary Richness
you have this additional interesting peculiarity character objects remember we saw ASCII symbols character objects are defined to hold such symbols One byte storage is allocated to every car time the declaration is using first underscore later underscore of underscore name basically all these variables independent of the name are capable of storing one value between 0 to 255 which is interpreted to be an ASCII code of decimal value fractional values character values are written,-22.59,High Fluency,Difficult (Complex language),Beginner,Low Engagement,Slow,Positive,High
close the single quotation so single coat P single coat single coat star single coat what is the third one single quote blank space single core there are many symbols which are not visible to US after there are 256 skills some simple services A to Z 012345 6789 + new line character C plus plus provides a notation if we want to specify any one of these characters as a value we can put escape character Back slash so a post office closed means it is a tab character new line character,-4.99,High Fluency,Difficult (Complex language),Beginner,Low Engagement,Slow,Neutral,Medium
you saw that on the screen when you edit a program there are lines the first line many times the next statement does not continue their it comes on the next line you typically press enter button to go to the next what is inserted internally is a new line character and that is shown by this suppose I want to put a single quote itself as a character how can I do that if I wrote code is my code and this is my closing code no because the first quote followed by the second court c plus plus character which actually has a value zero it is represented by Value and,-17.85,High Fluency,Difficult (Complex language),Beginner,Low Engagement,Slow,Neutral,Medium
it will come to this third who is this if I want to prescribe an apostrophe then I will have to use a backless nearly means interpret the next character that I type as a special character how do I include a backslash itself means something special the next backless is actually special character in my program I can say same is equal to P in single person what will be stored inside the location for same will be the value of P do you remember,1.11,High Fluency,Difficult (Complex language),Beginner,Low Engagement,Slow,Positive,Medium
last time we saw mno3 sorry 1125 left right we don't know what is the beauty C plus plus Street every character object numerical integer value because it is actually what is being stored in that one by is an unsigned integer 0 to 255 consequently C plus plus objects to participate in numerical computations can add something to eat multiplied by somebody of course multiply the value of P by 27 can be done so look at this,-0.26,High Fluency,Difficult (Complex language),Beginner,Low Engagement,Slow,Positive,High
sim 1 sim 2 sim 1 is equal to mistake here I have to say this right symbol value for M has gone into symbol what will be the value of sim 2 he says are can you figure out why we don't know what is the symbolic value of number we know that symbolic values for all the valid symbols are given in increasing order so if you have some value next value will be in next value will be next value will be X value will become a + 1 and + 2 + 3 + 4,0.43,High Fluency,Difficult (Complex language),Beginner,Low Engagement,Slow,Positive,Medium
so somebody was calculating it so fast that is kept one letter so what should be the value here will actually use this feature later when we learn to handle character value for the time being just treat it as a different data type the busy slide is not much time I still want to come to the expression evaluation quickly slightly longer lecture so ignore this like you can read it later assignment operation this is the most important computational operation understand equal to something that statement is said to be an assignment,-15.48,High Fluency,Difficult (Complex language),Beginner,Low Engagement,Slow,Positive,High
statement has two sides across the equal to symbol the equal to symbol is not the representative of equality equal to symbol is called assignment operator it has a left hand side and a right hand side the left hand side must be a single name representing an object which will receive the assigned value the right hand side is usually expression which is calculated and that results in a single value assignment operation works is the value on the right hand side is evaluated in the sample case the value is - 3 3,-15.48,High Fluency,Difficult (Complex language),Beginner,Low Engagement,Slow,Positive,Medium
the expression can contain multiple arithmetic operators what are the Arithmetic operators their familiar with minus plus star slash percent is a modulo operator it gives remainder so for example if I have something like 10 modulo 4 what will be the value to because 42810 - 8 is to the remainder is 2 common sense all of your familiar division multiplication happens before addition and subtraction modulation if in an expression there are operators one after another which are at the same principle if you don't like that president if you want something has to be done first then you include those operations in parenthesis,-43.57,High Fluency,Difficult (Complex language),Beginner,Low Engagement,Slow,Positive,High
super scene the natural law of associativity and precedence the general form of expression is this name is equal to expression is understood RHS is evaluated here is a sample example given how will this expression be evaluated what is the President first to multiplication so first this will be evaluated will get the value of then you say + 3 this will be valid what is the value of a equal to 16 question answer I want,1.78,High Fluency,Difficult (Complex language),Beginner,Low Engagement,Slow,Positive,Medium
